Region,Sub-region,Country,Year,Measure Names,Measure Values
Americas,Central America,Guatemala,2005,Rate,2.397673188
Americas,Central America,Panama,2005,Count,783
Americas,Central America,Mexico,2005,Count,28622
Americas,Central America,Guatemala,2005,Count,314
Americas,Central America,Panama,2006,Rate,24.088407108
Americas,Central America,Mexico,2006,Rate,28.733676583
Americas,Central America,Guatemala,2006,Rate,2.157196153
Americas,Central America,Costa Rica,2006,Rate,114.649420620
Americas,Central America,Panama,2006,Count,817
Americas,Central America,Mexico,2006,Count,30906
Americas,Central America,Guatemala,2006,Count,289
Americas,Central America,Costa Rica,2006,Count,4982
Americas,Central America,Panama,2007,Rate,25.393269944
Americas,Central America,Mexico,2007,Rate,30.321378028
Americas,Central America,Guatemala,2007,Rate,2.321111973
Americas,Central America,Costa Rica,2007,Rate,121.077249238
Americas,Central America,Panama,2007,Count,877
Americas,Central America,Mexico,2007,Count,33102
Americas,Central America,Guatemala,2007,Count,318
Americas,Central America,Costa Rica,2007,Count,5333
Americas,Central America,Panama,2008,Rate,20.817904763
Americas,Central America,Mexico,2008,Rate,29.654749841
Americas,Central America,Guatemala,2008,Rate,2.748739507
Americas,Central America,Costa Rica,2008,Rate,126.436130037
Americas,Central America,Panama,2008,Count,732
Americas,Central America,Mexico,2008,Count,32862
Americas,Central America,Guatemala,2008,Count,385
Americas,Central America,Costa Rica,2008,Count,5643
Americas,Central America,Panama,2009,Rate,23.189442378
Americas,Central America,Mexico,2009,Rate,30.067426081
Americas,Central America,Guatemala,2009,Rate,2.801012835
Americas,Central America,El Salvador,2009,Rate,31.131864966
Americas,Central America,Costa Rica,2009,Rate,143.826042601
Americas,Central America,Belize,2009,Rate,64.197295451
Americas,Central America,Panama,2009,Count,830
Americas,Central America,Mexico,2009,Count,33815
Americas,Central America,Guatemala,2009,Count,401
Americas,Central America,El Salvador,2009,Count,1917
Americas,Central America,Costa Rica,2009,Count,6502
Americas,Central America,Belize,2009,Count,202
Americas,Central America,Panama,2010,Rate,27.671850289
Americas,Central America,Nicaragua,2010,Rate,62.258995360
Americas,Central America,Mexico,2010,Rate,29.899292682
Americas,Central America,Guatemala,2010,Rate,3.390196590
Americas,Central America,El Salvador,2010,Rate,36.077690420
